New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex
BV31,Cloud Blue,BG3,Blue Grey 3,MG011,Blue Grey 011,MG011,Blue Grey 011,e0eef4
B02,Light Minty Blue,BG4,Mint Blue,,,,,bee5e8
G013,Muted Turquoise,BG5,Dolphin Blue,,,,,7cb1b0
BG314,Peacock Green,BG6,Peacock Green,G862,Peacock Green,G862,Peacock Green,2b948e
BG05,Light Sea Blue,BG68,Turquoise Blue,G191,Turquoise Blue,G191,Turquoise Blue,9dd9dc
BG315,Castleton Green,BG7,Forest Green,G850,Forest Green,G850,Forest Green,408982
BG215,Dark Pine Green,BG8,Teal,,,,,2d9581
BGY02,Pigeon Grey,BG9,Pigeon Blue,,,,,b0bec3
B310,Blue Dusk,BGⅡ03,Blue Grey II 3,MG031,Blue Grey 031,MG031,Blue Grey 031,a6c1cc
B411,Rich Slate Blue,BGⅡ05,Blue Grey II 5,MG069,Blue Grey 069,MG069,Blue Grey 069,7897a7
B415,Stormy Night,BGⅡ09,Blue Grey II 9,MG170,Blue Grey 170,MG170,Blue Grey 170,53606c
E415,Cedar Brown,BR1,Raw Umber,E557,Raw Umber,E557,Raw Umber,704123
YR313,Potato Brown,BR2,Potato Brown,E763,Potato Brown,E763,Potato Brown,a6552a
YR57,Tropical Peach,BR208,Black Brown,YR296,Black Brown,,,ee8354
YR39,Cinnamon,BR3,Rose Beige,E287,Rose Beige,E287,Rose Beige,ffaa9a
CG01,Cloud Grey,CG020,Neutral Grey 02,,,,,eaeaeb
CG02,Light Grey,CG030,Neutral Grey 03,,,,,e0e4e8
CG24,Grey,CG050,Neutral Grey 05,,,,,b2b8bb
CG28,Web Grey,CG070,Neutral Grey 07,CG070,Neutral Grey 070,,,7e848b
GG10,Soft Cool Grey,CG2,Cool Grey II 2,BG042,Cool Grey 042,BG042,Cool Grey 042,ced0d2
CG17,Cool Grey,CG5,Cool Grey II 5,BG081,Cool Grey 081,,,9aa3ac
WG10,Porcelain,CGⅡ00,Cool Grey II 0,BG038,Cool Grey 038,,,efedef
CG18,Icy Grey,CGⅡ04,Cool Grey II 4,,,,,97a2ab
BGY24,Storm Grey,CGⅡ07,Cool Grey II 7,BG083,Cool Grey 083,BG083,Cool Grey 083,75828c
BGY25,Cracked Pepper,CGⅡ08,Cool Grey II 8,,,,,6f7883
BGY35,Iron Grey,CGⅡ09,Cool Grey II 9,,,,,6a707a
YR00,Barely Blush,E010,Pale Fruit Pink,,,,,ffe1d3
YR05,Cotton Pearl,E020,Cotton Pearl,,,,,ffd1b8
YR45,Rosewater,E030,Pink Flamingo,,,,,ffd0c5
E85,Cherry Taupe,E050,Lipstick Natural,E183,Lipstick Natural,,,c38379
E610,Light Mahogany,E060,Light Mahogany,,,,,a14b23
YR214,Terracotta,E070,Brown,E686,Brown,,,df8574
YR215,Aged Cherry Wood,E080,Praline,,,,,953b0f
YR06,Raw Cashew,E090,Eggshell White,,,,,fbd2bc
YR312,Light Earth Brown,E110,Dark Suntan,,,,,cc8e76
